|seq|section_name|key_name                                        |value_text                                                                                                                                                                                                                                                                |
|---|------------|------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|10 |META        |marker                                          |G17B0_DB_PROBE_START                                                                                                                                                                                                                                                      |
|11 |META        |database                                        |world                                                                                                                                                                                                                                                                     |
|12 |META        |database_version                                |8.0.46                                                                                                                                                                                                                                                                    |
|13 |META        |probe_time                                      |2026-08-22 13:40:46                                                                                                                                                                                                                                                       |
|20 |TABLE       |creature_template                               |engine=InnoDB;collation=utf8mb4_unicode_ci                                                                                                                                                                                                                                |
|20 |TABLE       |creature_template_movement                      |engine=InnoDB;collation=utf8mb4_unicode_ci                                                                                                                                                                                                                                |
|20 |TABLE       |creature_template_spell                         |engine=InnoDB;collation=utf8mb4_unicode_ci                                                                                                                                                                                                                                |
|20 |TABLE       |npc_spellclick_spells                           |engine=InnoDB;collation=utf8mb4_unicode_ci                                                                                                                                                                                                                                |
|20 |TABLE       |spell_dbc                                       |engine=InnoDB;collation=utf8mb4_unicode_ci                                                                                                                                                                                                                                |
|20 |TABLE       |spell_script_names                              |engine=InnoDB;collation=utf8mb4_unicode_ci                                                                                                                                                                                                                                |
|20 |TABLE       |vehicle_template_accessory                      |engine=InnoDB;collation=utf8mb4_unicode_ci                                                                                                                                                                                                                                |
|30 |COLUMN      |creature_template_movement.Chase                |pos=6;type=tinyint unsigned;nullable=YES;default=NULL                                                                                                                                                                                                                     |
|30 |COLUMN      |creature_template_movement.CreatureId           |pos=1;type=int unsigned;nullable=NO;default=0                                                                                                                                                                                                                             |
|30 |COLUMN      |creature_template_movement.Flight               |pos=4;type=tinyint unsigned;nullable=YES;default=NULL                                                                                                                                                                                                                     |
|30 |COLUMN      |creature_template_movement.Ground               |pos=2;type=tinyint unsigned;nullable=YES;default=NULL                                                                                                                                                                                                                     |
|30 |COLUMN      |creature_template_movement.InteractionPauseTimer|pos=8;type=int unsigned;nullable=YES;default=NULL                                                                                                                                                                                                                         |
|30 |COLUMN      |creature_template_movement.Random               |pos=7;type=tinyint unsigned;nullable=YES;default=NULL                                                                                                                                                                                                                     |
|30 |COLUMN      |creature_template_movement.Rooted               |pos=5;type=tinyint unsigned;nullable=YES;default=NULL                                                                                                                                                                                                                     |
|30 |COLUMN      |creature_template_movement.Swim                 |pos=3;type=tinyint unsigned;nullable=YES;default=NULL                                                                                                                                                                                                                     |
|30 |COLUMN      |creature_template_spell.CreatureID              |pos=1;type=int unsigned;nullable=NO;default=NULL                                                                                                                                                                                                                          |
|30 |COLUMN      |creature_template_spell.Index                   |pos=2;type=tinyint unsigned;nullable=NO;default=0                                                                                                                                                                                                                         |
|30 |COLUMN      |creature_template_spell.Spell                   |pos=3;type=int unsigned;nullable=NO;default=NULL                                                                                                                                                                                                                          |
